code,factor
water,1
protcnt,1
fatce,1
ash,1
fibtg,1
fibins,1
fibsol,1
choavldf,1
enerc,1
ca,1e-3
p,1e-3
fe,1e-3
carot,1e-6
cartb,1e-6
thia,1e-3
ribf,1e-3
nia,1e-3
vitb6c,1e-3
folac,1e-6
folsum,1e-6
vitc,1e-3
choln,1e-3
mg,1e-3
na,1e-3
k,1e-3
cu,1e-3
mn,1e-3
mo,1e-3
zn,1e-3
cr,1e-3
s,1e-3
cl,1e-3
nt,1
arg,1e-3*nt
his,1e-3*nt
lys,1e-3*nt
trp,1e-3*nt
phe,1e-3*nt
tyr,1e-3*nt
met,1e-3*nt
cys,1e-3*nt
thr,1e-3*nt
leu,1e-3*nt
ile,1e-3*nt
val,1e-3*nt
f16d0,0.01*fatce
f18d0,0.01*fatce
f20d0,0.01*fatce
f22d0,0.01*fatce
f24d0,0.01*fatce
fasat,0.01*fatce
f16d1cn7,0.01*fatce
f18d1cn9,0.01*fatce
fams,0.01*fatce
f18d2cn6,0.01*fatce
f18d3n3,0.01*fatce
fapu,0.01*fatce
vitb12,1e-6
oxalt,1e-3
phytac,1e-3
phytacp,0.01
