before,code
water,enerc
water,water
water,ash
water,vit
water,fatce
water,cholc
water,fibtg
water,choavldf
water,protcnt
water,amiac
water,cartoid
water,orgac
water,phytac
water,mnrleq
water,mnrlet
water,mnrlpet
water,mnrlnet
water,vita
water,vitb
water,vitc
water,fasat
water,fauns
water,faess
water,facis
water,fatrn
water,fams
water,fapu
water,facn3
water,facn6
water,facn9
water,facn5
water,facn7
water,fibins
water,fibsol
water,amiace
water,amiacce
water,amiacne
thia,retol
f10d0,f4d0
f10d0,f6d0
f10d0,f8d0
f20d1cn9,f18d1tn9
mg,ca
mg,p
mg,fe
