47,Agathi,45000,15440
48,"Amaranthus Gangeticus, Tender",20160,8340
58,Ambat Chuka,9400,2800
73,Colocasia Leaves, Green variety,15700,5920
75,Coriander leaves,15000,4800
77,Curry leaves,21000,7110
78,Drumstick leaves,42000,19690
79,Fenugreek leaves,11800,9100
84,Gogu,17700,6970
89,Lettuce,7000,1100
93,Mayalu,9360,2840
94,Mint,18950,5480
101,Ponnaganti,24000,5440
103,Radish leaves,13000,2200
110,Spinach,9440,2740
118,Carrot,8840,6460,
130,Sweet Potato (yellow),2200,1810
157,Giant Chillies,690,140
178,Pumpkin,2100,1160
218,"Chillies, green",2430,1007
252,"Cherries, red",470,140
261,"Guava, country",400,0
264,Jack fruit,510,130
266,Jambu fruit,60,40
278,"Mango, ripe",2210,1990
283,Orange,2240,190
287,"Papaya, ripe",2740,880
293,Phalsa,481,0
306,"Tomato, ripe",3010,590
